nid,access,base_speed,bridge,from,highway,junction,key,landuse,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,weigth,tunnel,width,geometry
49152143,,25,,49152143,residential,,0,,,85.307,25 mph,Risa Lane,False,5966617,,,49152144,3.4122800000000004,,,"LINESTRING (-117.0537404 32.7325509, -117.054108 32.733253)"
49152143,,25,,49152143,residential,,0,,,139.017,25 mph,Macarthur Drive,False,5994972,,,49407647,5.5606800000000005,,,"LINESTRING (-117.05275 32.733761, -117.054108 32.733253)"
49152143,,25,,49152143,residential,,0,,,84.95200000000001,25 mph,Macarthur Drive,False,5994972,,,49348900,3.39808,,,"LINESTRING (-117.0549305 32.732929, -117.054108 32.733253)"
49407647,,25,,49407647,residential,,0,,,139.017,25 mph,Macarthur Drive,False,5994972,,,49152143,5.5606800000000005,,,"LINESTRING (-117.05275 32.733761, -117.054108 32.733253)"
49407647,,25,,49407647,residential,,0,,,353.165,25 mph,San Miguel Avenue,False,6023877,,,49482397,14.1266,,,"LINESTRING (-117.05275 32.733761, -117.052965 32.733759, -117.053144 32.73378, -117.053169 32.733784, -117.05352 32.733875, -117.053811 32.733968, -117.054572 32.734207, -117.054786 32.734256, -117.055038 32.734295, -117.056419 32.73439)"
49407647,,25,,49407647,residential,,0,,,326.935,25 mph,San Miguel Avenue,False,6023877,,,49352865,13.0774,,,"LINESTRING (-117.05275 32.733761, -117.052336 32.733791, -117.052097 32.733808, -117.052063 32.73381, -117.051872 32.733845, -117.051762 32.733882, -117.051687 32.733911, -117.05159 32.733963, -117.051378 32.734124, -117.051323 32.734166, -117.050438 32.73484, -117.050201 32.734985, -117.050056 32.735046, -117.0497872 32.7351267)"
49352865,,25,,49352865,residential,,0,,,38.813,25 mph,San Miguel Avenue,False,6023877,,,49581030,1.5525200000000001,,,"LINESTRING (-117.0493734 32.7351527, -117.0497872 32.7351267)"
49352865,,25,,49352865,residential,,0,,,47.297,25 mph,Jaynia Place,False,5988926,,,49127420,1.89188,,,"LINESTRING (-117.049858 32.735546, -117.049843 32.735317, -117.0497872 32.7351267)"
49352865,,25,,49352865,residential,,0,,,326.935,25 mph,San Miguel Avenue,False,6023877,,,49407647,13.0774,,,"LINESTRING (-117.05275 32.733761, -117.052336 32.733791, -117.052097 32.733808, -117.052063 32.73381, -117.051872 32.733845, -117.051762 32.733882, -117.051687 32.733911, -117.05159 32.733963, -117.051378 32.734124, -117.051323 32.734166, -117.050438 32.73484, -117.050201 32.734985, -117.050056 32.735046, -117.0497872 32.7351267)"
49581030,,25,,49581030,residential,,0,,,38.813,25 mph,San Miguel Avenue,False,6023877,,,49352865,1.5525200000000001,,,"LINESTRING (-117.0493734 32.7351527, -117.0497872 32.7351267)"
49581030,,25,,49581030,residential,,0,,,300.77299999999997,25 mph,San Miguel Avenue,False,6023877,,,49064726,12.03092,,,"LINESTRING (-117.046158 32.735184, -117.0465402 32.7351794, -117.0471073 32.7351727, -117.0473038 32.7351701, -117.047396 32.735169, -117.0480194 32.7351639, -117.0493734 32.7351527)"
49581030,,25,,49581030,residential,,0,,,327.455,25 mph,69th Street,False,6056604,,,49610672,13.0982,,,"LINESTRING (-117.0493132 32.732248, -117.0493728 32.7322922, -117.0494224 32.7323439, -117.0494142 32.7333044, -117.0494024 32.7333422, -117.049389 32.7333854, -117.0493734 32.7351527)"
49610672,,25,,49610672,residential,,0,,,79.126,25 mph,69th Street,False,642926660,,,49695612,3.1650400000000003,,,"LINESTRING (-117.0493132 32.732248, -117.0493591 32.7320756, -117.049375 32.731784, -117.049375 32.7316375, -117.049377 32.731541)"
49610672,,25,,49610672,residential,,0,,,327.455,25 mph,69th Street,False,6056604,,,49581030,13.0982,,,"LINESTRING (-117.0493132 32.732248, -117.0493728 32.7322922, -117.0494224 32.7323439, -117.0494142 32.7333044, -117.0494024 32.7333422, -117.049389 32.7333854, -117.0493734 32.7351527)"
49610672,,25,,49610672,residential,,0,,,107.271,25 mph,Gold Lake Road,False,6032416,,,49271309,4.29084,,,"LINESTRING (-117.0493132 32.732248, -117.04911 32.732475, -117.0487905 32.7327691, -117.048576 32.732986)"
49695612,,25,,49695612,tertiary,,0,,,211.179,25 mph,69th Street,False,5945317,,,48936755,8.44716,,,"LINESTRING (-117.0493466 32.7296475, -117.0493857 32.7297403, -117.049377 32.731541)"
49695612,,25,,49695612,tertiary,,0,,,136.941,25 mph,Mount Vernon Street,False,6049031,,,49272840,5.47764,,,"LINESTRING (-117.047913 32.731544, -117.0486734 32.7315424, -117.049377 32.731541)"
49695612,,25,,49695612,residential,,0,,,79.126,25 mph,69th Street,False,642926660,,,49610672,3.1650400000000003,,,"LINESTRING (-117.0493132 32.732248, -117.0493591 32.7320756, -117.049375 32.731784, -117.049375 32.7316375, -117.049377 32.731541)"
