nid,latitude,longitude,distance
49217557,32.740265,-117.10096,4828.942
49086487,32.766453,-117.082916,101.993
49217559,32.740265,-117.09993,4766.975
49086490,32.766434,-117.081886,0
49217562,32.740265,-117.098831,4664.186
49217586,32.740261,-117.096588,4461.718
49217589,32.7402621,-117.0944477,4661.903
49276600,32.757652,-117.0578,3655.408
5423890684,32.7765744,-117.0590814,4224.042
5423890687,32.7776476,-117.0587576,4100.913
49021285,32.7808862,-117.0647961,3634.077
49086831,32.728016,-117.084091,4849.987
49086835,32.728153,-117.08329,4766.472
49414549,32.7682984,-117.0817819,1624.815
49414559,32.769047,-117.082413,1512.537
49414570,32.7708015,-117.0829716,1719.534
49086893,32.759529,-117.055717,3739.706
49086898,32.759655,-117.054626,3755.298
49086903,32.760658,-117.053574,3739.342
49283560,32.729019,-117.088959,4759.383
49283564,32.730133,-117.089111,4632.771
49283566,32.730785,-117.089104,4560.269
49283570,32.731422,-117.088997,4488.488
49283582,32.735386,-117.087128,4011.119
49283604,32.736961,-117.090042,4109.258
370213464,32.7507351,-117.1092739,4470.416
370213465,32.7497594,-117.1092792,4574.659
277348980,32.7497483,-117.1082854,4481.711
49283711,32.742126,-117.0923,3910.415
49283713,32.742702,-117.092308,3846.362
49283718,32.745617,-117.092323,3522.215
49283717,32.744473,-117.092331,3649.424
49283721,32.747368,-117.0923,3327.498
49283722,32.747673,-117.0923,3293.583
49283723,32.748447,-117.092293,3207.516
49283720,32.746609,-117.092308,3411.898
49283725,32.7513657,-117.0922468,2882.941
49283728,32.7560685,-117.0921976,2359.989
49087206,32.748302,-117.065659,3614.854
49087209,32.751198,-117.066177,3285.841
49414913,32.741634,-117.083794,3126.545
49349385,32.753075,-117.074669,2357.58
49152858,32.745941,-117.108208,4879.411
49152862,32.74593,-117.106956,4762.312
49152864,32.7459274,-117.105743,4648.86
49152866,32.745907,-117.1045,4534.633
49152869,32.745892,-117.103271,4421.213
49152876,32.745869,-117.100929,4205.787
49152880,32.745861,-117.0998439,4137.899
49152881,32.745846,-117.098778,4038.198
49152883,32.7458574,-117.0977052,3937.811
49087347,32.761982,-117.0612381,2777.187
49152887,32.745895,-117.096619,3834.653
49087352,32.763474,-117.060257,2900.961
49152890,32.746437,-117.083618,2747.029
49087353,32.7638264,-117.0598643,2954.662
49087360,32.758972,-117.061188,2819.571
49087361,32.759491,-117.061203,2877.298
49152946,32.745949,-117.084343,2847.854
49152962,32.7461754,-117.0880251,3125.977
49152981,32.745888,-117.095757,3770.575
49152983,32.745884,-117.095543,3750.556
49152984,32.74588,-117.09494,3739.116
49152987,32.745876,-117.09446,3694.222
49152988,32.745872,-117.094131,3664.531
49152992,32.745865,-117.093399,3596.066
49152994,32.745865,-117.093147,3572.597
49152998,32.745857,-117.092323,3495.528
49087810,32.744453,-117.057533,4227.281
49087813,32.744308,-117.056587,4317.851
533005871,32.7499443,-117.0815144,2549.406
48891540,32.7560866,-117.0958005,2759.896
1362102029,32.7544635,-117.1081394,4226.315
1362102030,32.7558449,-117.1095394,4329.857
49416064,32.754364,-117.067947,2707.542
49023104,32.7452407,-117.057537,4139.692
49023106,32.7430832,-117.0553814,4715.172
49678467,32.7733629,-117.0483935,4556.21
49350919,32.7552193,-117.1050218,3569.129
49350921,32.757088,-117.105019,3776.919
49023246,32.7728948,-117.0657254,2970.823
49350928,32.742165,-117.104553,4950.756
49350933,32.747776,-117.104477,4326.797
49350936,32.7514607,-117.104431,3921.594
48957726,32.760605,-117.061218,2762.01
48957727,32.760445,-117.061211,2779.813
49350951,32.760281,-117.10479,4111.833
49785059,32.755455,-117.049151,4482.396
49285594,32.763248,-117.051163,3790.21
49285597,32.7632516,-117.050204,3879.883
49285599,32.7632627,-117.0468332,4195.093
49285601,32.7632629,-117.0457418,4297.145
49547868,32.733566,-117.075256,4494.943
49547889,32.732632,-117.075829,4372.581
49285771,32.727623,-117.077057,4729.91
49285779,32.728523,-117.082626,4672.226
49285781,32.72831,-117.08213,4619.591
49089271,32.759865,-117.06826,1994.719
49089272,32.759853,-117.067062,2106.751
49154856,32.765251,-117.082764,210.076
49154858,32.765278,-117.08226,162.855
49024028,32.755959,-117.05011,4430.586
49024030,32.7560085,-117.0501223,4436.209
49417399,32.770649,-117.060707,3323.354
1283132747,32.7793774,-117.0726204,4431.43
2138443115,32.7522036,-117.0668705,3207.485
2138443122,32.7503969,-117.0706073,3073.127
1283132802,32.7813451,-117.0642935,4406.143
1283132928,32.7802113,-117.0940572,4538.837
1283132957,32.7799597,-117.0988238,4407.945
1283132992,32.7796939,-117.099781,4313.586
1283133077,32.7773587,-117.0677128,4961.286
49614493,32.762859,-117.091713,2494.062
49614503,32.763485,-117.091843,2566.373
49614789,32.7755787,-117.1003315,4581.041
49352677,32.757149,-117.113113,4533.394
49352679,32.7552882,-117.1136197,4373.219
49352682,32.757149,-117.113586,4577.625
49090543,32.732155,-117.079689,4013.699
49352693,32.751529,-117.113083,4724.859
49090551,32.732609,-117.07856,4135.539
49090652,32.775627,-117.089256,2691.078
49680605,32.778412,-117.087807,3486.723
49484006,32.755486,-117.06131,3150.436
49090902,32.7424486,-117.0691279,4399.489
49090905,32.742718,-117.06839,4324.118
49090908,32.742836,-117.067123,4204.338
49090909,32.7433705,-117.0772189,3110.257
49090911,32.7435389,-117.073411,3468.259
49090963,32.726929,-117.080276,4669.766
49090968,32.727356,-117.079613,4753.748
49090971,32.728798,-117.078506,4618.147
49091044,32.72781,-117.082626,4692.005
49091046,32.727383,-117.081879,4777.118
49091056,32.725681,-117.081741,4928.336
49549913,32.760557,-117.0835805,1539.292
49091226,32.7246555,-117.084186,4970.574
49091228,32.725876,-117.083061,4798.757
49091229,32.7287606,-117.0803892,4403.552
49091234,32.7306577,-117.0796608,4178.74
49091235,32.7349476,-117.0796061,3934.099
49091237,32.7357957,-117.0795779,3605.448
49091239,32.737689,-117.079697,3387.363
49091247,32.7458809,-117.0794373,2488.677
49091251,32.7487595,-117.0795355,2156.17
49091256,32.7548727,-117.0793403,1489.53
49091257,32.7577955,-117.0792883,1166.873
49091260,32.76265,-117.079376,596.826
49091261,32.763474,-117.079376,505.201
49091266,32.765324,-117.079643,715.323
49091272,32.767799,-117.079811,1003.306
49091278,32.76878,-117.080338,1162.448
49091280,32.771053,-117.0795172,1426.608
5717097829,32.7613749,-117.0669711,2047.137
5751290548,32.7568395,-117.0665568,2468.391
49615801,32.728088,-117.084961,4936.708
49222622,32.747593,-117.063873,3678.68
49222631,32.751385,-117.065521,3221.065
49157206,32.7724785,-117.076165,1940.412
49157215,32.772579,-117.0718844,2355.084
49681503,32.7616993,-117.114098,4828.588
49353902,32.78109,-117.067963,4768.938
49616382,32.7664421,-117.0502679,4501.441
49092154,32.7467359,-117.0870135,3034.005
49092155,32.7472827,-117.0870084,2973.202
49092156,32.7493046,-117.0869992,2768.037
49092164,32.744514,-117.087471,3274.301
