from,to,length
49443530,49217537,207.67
49643211,49217537,183.773
49217545,49217537,114.957
49217534,49217537,114.202
4616436417,49086467,133.667
49086467,48986836,273.638
4616444095,49086467,179.763
49350928,49217545,207.94
49217547,49217545,112.706
1688072063,49217547,58.49
49467761,49217547,120.712
1129672128,49348622,20.88
49348622,49062069,503.141
49468033,49348622,230.573
49485614,49086482,70.831
3404082389,49086482,92.433
49086483,49086482,74.223
49217559,49217557,96.336
49217557,4343146260,27.709
49443541,49217557,207.825
49142305,49217557,197.055
1464991766,670772496,331.727
1164676330,1464991766,15.248
2666304925,1464991766,207.3
1164674942,1464991766,269.302
49086490,49086487,101.993
49217562,49217559,102.789
49540031,49217559,204.944
49067596,49283097,221.369
49072485,49283097,356.262
49552184,49283097,73.118
49268673,49086490,429.053
49687281,49086490,81.178
49044257,49217562,103.874
49313570,49217562,163.173
49020959,673059376,362.739
49020959,49307071,569.801
1835159887,49020959,316.19
49112984,49217567,86.332
49581762,49217567,82.779
49098675,49217567,115.312
49050932,49217567,116.652
49086502,49086501,66.95
49213368,49086501,77.185
49194937,49086501,209.27
49217577,49217573,84.271
49080949,49217573,85.58
49217573,49050935,115.875
49098677,49217573,115.762
49086506,49086505,37.023
49064401,49086506,187.27
49210466,49086506,83.857
49217580,49217577,85.909
49217577,49098678,116.2
49050936,49217577,115.429
49217580,49050937,114.906
49098679,49217580,117.373
48992238,49741872,122.982
49128603,49741872,177.358
49561925,49741872,115.055
49358964,49217586,206.885
49193891,49217586,100.641
49044257,49217586,105.913
49358967,49217586,205.058
49428873,435879987,81.775
49504850,435879987,11.737
435879989,435879987,64.586
1336388492,49217589,48.533
4599945092,49217589,50.852
49365330,49217589,102.433
5995461397,49217589,32.741
49741878,49561932,117.873
49175736,49741878,55.627
49583051,49741878,176.811
49026075,49741878,59.229
279047338,49741878,93.044
49217602,49217600,104.942
3696259387,49217600,190.061
48934830,49217600,201.487
49098692,49217602,204.934
49217605,49217602,99.895
49050944,49217602,99.631
49098694,49217605,203.6
49217609,49217605,99.891
49098696,49217609,203.6
49083537,49217609,101.295
49050945,49217609,100.52
49064172,2009727051,47.23
49501918,49479756,206.769
49479760,49479756,116.988
49149202,49479756,116.332
49647330,49479756,210.668
49216348,49348685,108.244
49346551,49152079,89.229
49098140,49152079,69.539
49124113,49152079,68.048
49124115,49152079,213.44
49098685,49217615,196.815
49325708,49217615,202.375
49217621,49217615,99.107
49083537,49217615,99.89
49155487,49086544,50.112
49086544,49443107,53.356
49443107,49086544,293.949
49501920,49479760,207.054
2430676120,49479760,62.217
49094698,49676372,45.017
276693077,49755445,415.723
49755418,276693077,1330.832
275270311,276693077,428.531
275185749,48915919,705.746
49022312,275185749,192.96
1239329634,275185749,168.043
49182145,275185749,330.319
49098687,49217621,197.529
49217625,49217621,102.173
49725205,49217621,148.712
49406841,49406834,95.119
49098689,49217625,196.815
49493067,49217625,202.38
49064761,49217625,95.88
49338307,49348700,85.173
49670994,49348700,95.49
49348702,49348700,178.307
49338312,49348702,82.606
49348703,49348702,218.628
49338317,49348703,92.339
49624347,49348703,83.583
49344176,49414241,84.857
49249722,49414241,87.098
49551718,49414241,116.645
49110715,49414241,115.764
49348709,49348707,68.917
49155999,49348707,85.757
49187575,49348707,47.702
49155988,49348707,267.498
5158312312,49348709,100.097
49253000,49348709,247.522
49476115,49348710,128.913
49106516,49348710,89.002
49348720,49348710,274.97
49083491,49414247,84.947
49344176,49414247,84.947
49551720,49414247,116.395
49110717,49414247,115.233
49401507,49217639,201.497
49217644,49217639,90.633
49100908,49217639,91.288
1713804785,49217639,180.783
49083491,49414252,85.154
49332044,49414252,86.153
49551722,49414252,117.426
49110718,49414252,116.214
49283191,49283181,231.921
49388232,49283181,169.033
49388218,49283181,59.189
49332044,49414254,81.391
49110720,49414254,116.644
4737161804,49414254,91.398
49044253,49414254,233.59
49561912,49217644,201.831
49106958,49217644,90.632
49045925,49217644,203.083
49106521,49348720,99.834
49229626,49348720,231.641
49070833,49217653,64.072
49106958,49217653,59.852
49357322,49217653,216.206
49367968,49283191,76.309
49367966,49283191,33.269
49401411,49414263,84.944
49551694,49414263,73.96
366239931,49414263,212.615
49110723,49414263,120.015
2009727097,2009727097,100.922
49192077,2009727097,80.77
49609539,4018995323,150.727
4018993045,4018995323,189.748
4018993040,4018995323,139.398
49285162,49217662,205.345
49285160,49217662,210.247
49047605,49217662,114.41
49070833,49217662,111.626
49386504,49283201,113.105
49580367,49283201,96.705
49047605,49217665,56.421
49414287,49414284,86.203
49414284,275984912,52.346
49110702,49414284,115.65
49344786,49414284,86.115
673054861,49306949,489.649
673054861,48883574,83.93
49065129,673054861,147.422
49152144,49152143,85.307
49407647,49152143,139.017
49348900,49152143,84.952
49295407,49414287,85.111
49414287,49110703,116.293
49767224,49414287,168.56
49414290,49110705,116.118
49313729,49414290,84.943
49295407,49414290,84.946
49551712,49414290,109.865
49152148,49152147,72.05
49348900,49152147,4.848
49407642,49152147,61.178
49617426,49283224,131.101
49283228,49283224,63.175
48961873,49283224,230.673
49788657,49283228,129.485
49283241,49283228,433.214
49605188,49414303,102.391
49605185,49414303,41.458
48917404,49414303,154.972
49217704,49217702,220.936
49539071,49217704,89.182
49583071,49217704,171.354
49283243,49283241,62.652
49283256,49283241,710.783
49283246,49283243,108.814
49484107,49283243,102.781
49283252,49283246,220.673
49191807,49283246,304.663
48890031,49756922,249.24
48890031,1229080094,359.8
6042797995,48890031,57.913
49283256,49283252,191.567
49202797,49283252,130.575
49172347,49479862,209.133
49080210,49283256,103.561
49336121,49610936,32.888
49086653,49086649,160.71
49395798,49086649,166.409
49092771,49086649,179.151
48890044,276750708,940.062
49756922,48890044,113.269
48949146,48890044,95.775
1811066466,49283261,12.88
49283261,4341706967,194.632
1175131251,49283261,78.38
49057731,49086653,83.101
49057734,49086653,262.055
49426323,49283263,201.531
49087840,49283263,151.244
49133770,49283263,134.873
49081073,49086657,245.389
49057731,49086657,138.879
49270902,49086657,388.245
49280312,49511062,127.207
4600209518,49511062,44.108
49146798,49511062,177.957
49460568,49511062,125.66
49088652,49676487,33.75
49061105,49283276,389.479
49096011,49283276,501.175
49170825,49283276,219.817
49120291,49120290,121.318
49120287,49120290,142.704
49233204,49120290,80.106
49276585,49276600,243.746
49667574,49276600,242.077
49144655,49276600,121.989
49215414,49348815,123.568
49092337,49348815,164.124
49144087,49348815,141.061
