from,to,weight
49443530,49217537,8.3068
49643211,49217537,7.35092
49217545,49217537,4.59828
49217534,49217537,4.56808
4616436417,49086467,5.34668
49086467,48986836,10.94552
4616444095,49086467,7.19052
49350928,49217545,8.3176
49217547,49217545,4.50824
1688072063,49217547,2.3396
49467761,49217547,4.82848
1129672128,49348622,0.8352
49348622,49062069,20.12564
49468033,49348622,9.22292
49485614,49086482,2.83324
3404082389,49086482,3.69732
49086483,49086482,2.96892
49217559,49217557,3.85344
49217557,4343146260,1.10836
49443541,49217557,8.313
49142305,49217557,7.8822
1464991766,670772496,13.26908
1164676330,1464991766,0.60992
2666304925,1464991766,8.292
1164674942,1464991766,10.77208
49086490,49086487,4.07972
49217562,49217559,4.11156
49540031,49217559,8.19776
49067596,49283097,8.85476
49072485,49283097,14.25048
49552184,49283097,2.92472
49268673,49086490,17.16212
49687281,49086490,3.24712
49044257,49217562,4.15496
49313570,49217562,6.52692
49020959,49307071,8.766169231
1835159887,49020959,4.864461538
49112984,49217567,3.45328
49581762,49217567,3.31116
49098675,49217567,4.61248
49050932,49217567,4.66608
49086502,49086501,2.678
49213368,49086501,3.0874
49194937,49086501,8.3708
49217577,49217573,3.37084
49080949,49217573,3.4232
49217573,49050935,4.635
49098677,49217573,4.63048
49086506,49086505,1.48092
49064401,49086506,7.4908
49210466,49086506,3.35428
49217580,49217577,3.43636
49217577,49098678,4.648
49050936,49217577,4.61716
49217580,49050937,3.8302
49098679,49217580,3.912433333
48992238,49741872,4.91928
49128603,49741872,7.09432
49561925,49741872,4.6022
49358964,49217586,8.2754
49193891,49217586,4.02564
49044257,49217586,4.23652
49358967,49217586,8.20232
49428873,435879987,3.271
49504850,435879987,0.46948
435879989,435879987,2.58344
1336388492,49217589,1.94132
4599945092,49217589,2.03408
49365330,49217589,4.09732
5995461397,49217589,1.30964
49741878,49561932,4.71492
49175736,49741878,2.22508
49583051,49741878,7.07244
49026075,49741878,2.36916
279047338,49741878,3.72176
49217602,49217600,4.19768
3696259387,49217600,7.60244
48934830,49217600,8.05948
49098692,49217602,8.19736
49217605,49217602,3.9958
49050944,49217602,3.98524
49098694,49217605,8.144
